#{"t_start": 1783832191.6869724, "env_id": "LunarLander-v3"}
r,l,t
-111.405091,125,45.931368
-17.450596,271,46.092922
9.887937,214,46.245279
-19.525066,282,46.424542
104.396763,1000,48.434744
-11.522421,275,48.670773
-35.792611,208,48.809313
4.107027,242,48.978535
-42.606936,223,49.104489
-117.69463,285,49.281301
-18.148465,212,49.404923
-14.573453,251,49.54933
-37.513163,136,49.631172
20.07705,1000,51.568664
-19.017952,312,51.776428
88.478752,1000,53.646942
42.985571,244,53.805483
-155.908202,854,54.339929
70.692303,1000,56.202579
-150.698384,178,56.313351
-222.633789,377,56.543774
87.03772,1000,57.170293
26.825707,1000,59.061649
-72.044353,336,59.259706
-89.136023,427,59.507946
114.370369,1000,61.49113
-214.456917,607,61.881216
6.660436,1000,63.765505
-51.044214,336,63.992285
81.235593,1000,64.622605
102.017583,1000,66.735592
-65.275413,1000,67.326676
52.687182,1000,69.182782
-112.258081,1000,69.760013
-6.664794,1000,71.471519
-76.948436,1000,72.026822
-109.349884,1000,73.70216
-195.198521,992,74.264437
-148.805471,807,74.73212
86.488285,1000,76.51083
23.865125,1000,77.121831
-65.714159,541,78.723575
95.454593,1000,79.327889
-94.513133,505,79.626515
20.074976,1000,81.477605
54.87178,1000,82.04069
97.404689,1000,83.676463
82.067944,1000,84.252621
111.977136,1000,85.913874
6.89233,209,86.033611
60.553803,1000,86.593856
93.43662,1000,88.597019
-42.575361,559,88.988193
13.990191,365,89.237065
92.568832,1000,90.996543
-81.303885,548,91.309208
-48.666799,287,91.473392
51.90449,1000,93.168729
99.874604,1000,93.7558
100.457448,1000,95.457132
234.354789,812,95.932225
70.87502,1000,97.589414
132.98355,1000,98.150165
227.398431,681,99.728587
108.612171,1000,100.336127
-63.252015,301,100.516516
-23.824182,301,100.683656
-13.774216,325,100.863725
100.706172,1000,102.554916
117.5601,1000,103.125785
117.546897,1000,104.802219
91.192653,1000,105.3965
155.901512,784,107.046155
191.06596,833,107.523964
37.126384,1000,109.229136
-64.685047,380,109.461837
-108.127814,771,109.897908
-188.116575,917,111.518258
-58.802811,465,111.776806
-18.74698,261,111.935696
-155.932564,792,112.382232
183.384434,606,113.906956
184.372092,511,114.230438
144.94165,648,114.626588
-84.59131,851,116.474255
170.486591,436,116.749842
-88.696961,356,116.973147
-107.106549,549,117.293656
227.801539,625,118.775727
240.524759,548,119.081332
187.555577,639,119.436409
179.013086,615,120.868226
-58.579738,235,121.021125
185.677103,777,121.477517
141.311313,488,121.744924
